Date,Close
17/08/2000 18.00.00,"5192,06"
18/08/2000 18.00.00,"5180,7"
21/08/2000 18.00.00,"5165,44"
22/08/2000 18.00.00,"5161,42"
23/08/2000 18.00.00,"5160,14"
24/08/2000 18.00.00,"5123,99"
25/08/2000 18.00.00,"5175,65"
28/08/2000 18.00.00,"5204,18"
29/08/2000 18.00.00,"5188,93"
30/08/2000 18.00.00,"5166,91"
31/08/2000 18.00.00,"5175,12"
01/09/2000 18.00.00,"5298,64"
04/09/2000 18.00.00,"5392,63"
05/09/2000 18.00.00,"5326,69"
06/09/2000 18.00.00,"5299,24"
07/09/2000 18.00.00,"5329,06"
08/09/2000 18.00.00,"5229,04"
11/09/2000 18.00.00,"5233,87"
12/09/2000 18.00.00,"5222,37"
13/09/2000 18.00.00,"5153,2"
14/09/2000 18.00.00,"5204,62"
15/09/2000 18.00.00,"5199,14"
18/09/2000 18.00.00,"5129,43"
19/09/2000 18.00.00,"5117,15"
20/09/2000 18.00.00,"5051,4"
21/09/2000 18.00.00,"4941,06"
22/09/2000 18.00.00,"4945,37"
25/09/2000 18.00.00,"4984,29"
26/09/2000 18.00.00,"4934,89"
27/09/2000 18.00.00,"4949,87"
28/09/2000 18.00.00,"4934,08"
29/09/2000 18.00.00,"4915,18"
02/10/2000 18.00.00,"4961,88"
03/10/2000 18.00.00,"5003,46"
04/10/2000 18.00.00,"4959,41"
05/10/2000 18.00.00,"4997,25"
06/10/2000 18.00.00,"4958,37"
09/10/2000 18.00.00,"4844,44"
10/10/2000 18.00.00,"4867,33"
11/10/2000 18.00.00,"4743,47"
12/10/2000 18.00.00,"4747,87"
13/10/2000 18.00.00,"4782,74"
16/10/2000 18.00.00,"4793,14"
17/10/2000 18.00.00,"4760,92"
18/10/2000 18.00.00,"4658,85"
19/10/2000 18.00.00,"4836,86"
20/10/2000 18.00.00,"4889,51"
23/10/2000 18.00.00,"4906,67"
24/10/2000 18.00.00,"5031,03"
25/10/2000 18.00.00,"4977,07"
26/10/2000 18.00.00,"4926,36"
27/10/2000 18.00.00,"4965,92"
30/10/2000 18.00.00,"4981,38"
31/10/2000 18.00.00,"5057,46"
01/11/2000 18.00.00,"5085,47"
02/11/2000 18.00.00,"5092,63"
03/11/2000 18.00.00,"5101,4"
06/11/2000 18.00.00,"5091,25"
07/11/2000 18.00.00,"5076,8"
08/11/2000 18.00.00,"5055,05"
09/11/2000 18.00.00,"5017,69"
10/11/2000 18.00.00,"4934,47"
13/11/2000 18.00.00,"4847,46"
14/11/2000 18.00.00,"5011,12"
15/11/2000 18.00.00,"5053,48"
16/11/2000 18.00.00,"5010,65"
17/11/2000 18.00.00,"4961,54"
20/11/2000 18.00.00,"4849,33"
21/11/2000 18.00.00,"4893,95"
22/11/2000 18.00.00,"4783,23"
23/11/2000 18.00.00,"4837,48"
24/11/2000 18.00.00,"4940,22"
27/11/2000 18.00.00,"4945,34"
28/11/2000 18.00.00,"4893,46"
29/11/2000 18.00.00,"4907,61"
30/11/2000 18.00.00,"4790,08"
01/12/2000 18.00.00,"4839,27"
04/12/2000 18.00.00,"4734,72"
05/12/2000 18.00.00,"4911,93"
06/12/2000 18.00.00,"4869,48"
07/12/2000 18.00.00,"4900,6"
08/12/2000 18.00.00,"4889,72"
11/12/2000 18.00.00,"4970,66"
12/12/2000 18.00.00,"4947,72"
13/12/2000 18.00.00,"4890,16"
14/12/2000 18.00.00,"4810,94"
15/12/2000 18.00.00,4718
18/12/2000 18.00.00,"4744,26"
19/12/2000 18.00.00,"4814,64"
20/12/2000 18.00.00,"4641,15"
21/12/2000 18.00.00,"4614,24"
22/12/2000 18.00.00,"4655,87"
27/12/2000 18.00.00,"4721,49"
28/12/2000 18.00.00,"4770,9"
29/12/2000 18.00.00,"4772,39"
02/01/2001 18.00.00,"4701,68"
03/01/2001 18.00.00,"4660,48"
04/01/2001 18.00.00,"4752,71"
05/01/2001 18.00.00,"4734,48"
08/01/2001 18.00.00,"4711,31"
09/01/2001 18.00.00,"4641,79"
10/01/2001 18.00.00,"4598,82"
11/01/2001 18.00.00,"4686,88"
12/01/2001 18.00.00,"4737,95"
15/01/2001 18.00.00,"4763,53"
16/01/2001 18.00.00,"4693,82"
17/01/2001 18.00.00,"4787,45"
18/01/2001 18.00.00,"4754,97"
19/01/2001 18.00.00,"4720,03"
22/01/2001 18.00.00,"4743,39"
23/01/2001 18.00.00,"4743,93"
24/01/2001 18.00.00,"4773,26"
25/01/2001 18.00.00,"4779,35"
26/01/2001 18.00.00,"4760,2"
29/01/2001 18.00.00,"4757,09"
30/01/2001 18.00.00,"4726,65"
31/01/2001 18.00.00,"4779,9"
01/02/2001 18.00.00,"4709,19"
02/02/2001 18.00.00,"4665,19"
05/02/2001 18.00.00,"4668,57"
06/02/2001 18.00.00,"4706,83"
07/02/2001 18.00.00,"4634,42"
08/02/2001 18.00.00,"4653,17"
09/02/2001 18.00.00,"4583,76"
12/02/2001 18.00.00,"4628,17"
13/02/2001 18.00.00,"4629,67"
14/02/2001 18.00.00,"4556,49"
15/02/2001 18.00.00,"4607,64"
16/02/2001 18.00.00,"4519,95"
19/02/2001 18.00.00,"4516,31"
20/02/2001 18.00.00,"4481,04"
21/02/2001 18.00.00,"4412,76"
22/02/2001 18.00.00,"4345,1"
23/02/2001 18.00.00,"4236,82"
26/02/2001 18.00.00,"4310,14"
27/02/2001 18.00.00,"4333,32"
28/02/2001 18.00.00,"4318,88"
01/03/2001 18.00.00,"4282,9"
02/03/2001 18.00.00,"4300,35"
05/03/2001 18.00.00,"4347,4"
06/03/2001 18.00.00,"4412,11"
07/03/2001 18.00.00,"4413,62"
08/03/2001 18.00.00,"4370,56"
09/03/2001 18.00.00,"4334,23"
12/03/2001 18.00.00,"4218,14"
13/03/2001 18.00.00,"4184,15"
14/03/2001 18.00.00,"4124,41"
15/03/2001 18.00.00,"4200,08"
16/03/2001 18.00.00,"4106,79"
19/03/2001 18.00.00,"4085,53"
20/03/2001 18.00.00,"4158,42"
21/03/2001 18.00.00,"4067,26"
22/03/2001 18.00.00,"3891,49"
23/03/2001 18.00.00,"4002,56"
26/03/2001 18.00.00,"4143,85"
27/03/2001 18.00.00,"4229,81"
28/03/2001 18.00.00,"4157,55"
29/03/2001 18.00.00,"4165,75"
30/03/2001 18.00.00,4185
02/04/2001 18.00.00,"4190,8"
03/04/2001 18.00.00,"4039,16"
04/04/2001 18.00.00,"4062,12"
05/04/2001 18.00.00,"4158,19"
06/04/2001 18.00.00,"4145,85"
09/04/2001 18.00.00,"4204,13"
10/04/2001 18.00.00,"4305,96"
11/04/2001 18.00.00,"4329,23"
12/04/2001 18.00.00,"4338,12"
17/04/2001 18.00.00,"4293,51"
18/04/2001 18.00.00,"4441,58"
19/04/2001 18.00.00,"4420,55"
20/04/2001 18.00.00,"4383,59"
23/04/2001 18.00.00,"4331,54"
24/04/2001 18.00.00,"4372,41"
25/04/2001 18.00.00,"4363,11"
26/04/2001 18.00.00,"4405,39"
27/04/2001 18.00.00,"4473,95"
30/04/2001 18.00.00,"4525,01"
02/05/2001 18.00.00,"4492,33"
03/05/2001 18.00.00,"4401,57"
04/05/2001 18.00.00,"4416,79"
07/05/2001 18.00.00,"4440,65"
08/05/2001 18.00.00,"4441,86"
09/05/2001 18.00.00,"4415,99"
10/05/2001 18.00.00,"4519,04"
11/05/2001 18.00.00,"4479,9"
14/05/2001 18.00.00,"4426,78"
15/05/2001 18.00.00,"4453,95"
16/05/2001 18.00.00,"4449,61"
17/05/2001 18.00.00,"4504,26"
18/05/2001 18.00.00,"4546,41"
21/05/2001 18.00.00,"4558,76"
22/05/2001 18.00.00,"4582,07"
23/05/2001 18.00.00,"4535,97"
24/05/2001 18.00.00,"4561,38"
25/05/2001 18.00.00,"4498,11"
28/05/2001 18.00.00,"4512,6"
29/05/2001 18.00.00,"4477,95"
30/05/2001 18.00.00,"4413,37"
31/05/2001 18.00.00,"4426,24"
01/06/2001 18.00.00,"4414,84"
04/06/2001 18.00.00,"4432,65"
05/06/2001 18.00.00,"4493,93"
06/06/2001 18.00.00,"4468,95"
07/06/2001 18.00.00,"4450,41"
08/06/2001 18.00.00,"4450,97"
11/06/2001 18.00.00,"4424,92"
12/06/2001 18.00.00,"4289,07"
13/06/2001 18.00.00,4336
14/06/2001 18.00.00,"4282,1"
15/06/2001 18.00.00,"4236,9"
18/06/2001 18.00.00,"4168,95"
19/06/2001 18.00.00,"4195,43"
20/06/2001 18.00.00,"4175,88"
21/06/2001 18.00.00,"4174,06"
22/06/2001 18.00.00,"4194,96"
25/06/2001 18.00.00,"4211,77"
26/06/2001 18.00.00,"4143,75"
27/06/2001 18.00.00,"4124,24"
28/06/2001 18.00.00,"4169,49"
29/06/2001 18.00.00,"4243,91"
02/07/2001 18.00.00,"4304,44"
03/07/2001 18.00.00,"4243,8"
04/07/2001 18.00.00,"4214,62"
05/07/2001 18.00.00,"4185,47"
06/07/2001 18.00.00,"4076,47"
09/07/2001 18.00.00,"4077,86"
10/07/2001 18.00.00,"4032,97"
11/07/2001 18.00.00,"3974,64"
12/07/2001 18.00.00,"4010,85"
13/07/2001 18.00.00,"4044,42"
16/07/2001 18.00.00,"4011,59"
17/07/2001 18.00.00,"3996,05"
18/07/2001 18.00.00,"3911,3"
19/07/2001 18.00.00,"3991,08"
20/07/2001 18.00.00,"3948,25"
23/07/2001 18.00.00,"3977,18"
24/07/2001 18.00.00,"3930,11"
25/07/2001 18.00.00,"3860,7"
26/07/2001 18.00.00,"3915,62"
27/07/2001 18.00.00,"3986,48"
30/07/2001 18.00.00,"4047,66"
31/07/2001 18.00.00,"4091,38"
01/08/2001 18.00.00,"4092,22"
02/08/2001 18.00.00,"4066,43"
03/08/2001 18.00.00,"4024,9"
06/08/2001 18.00.00,"4044,29"
07/08/2001 18.00.00,"4042,71"
08/08/2001 18.00.00,"3972,98"
09/08/2001 18.00.00,"3885,05"
10/08/2001 18.00.00,"3828,68"
13/08/2001 18.00.00,"3874,67"
14/08/2001 18.00.00,"3924,67"
15/08/2001 18.00.00,"3894,77"
16/08/2001 18.00.00,"3849,17"
17/08/2001 18.00.00,"3759,69"
20/08/2001 18.00.00,"3765,61"
21/08/2001 18.00.00,"3790,34"
22/08/2001 18.00.00,"3793,55"
23/08/2001 18.00.00,"3816,99"
24/08/2001 18.00.00,"3890,55"
27/08/2001 18.00.00,"3892,15"
28/08/2001 18.00.00,"3823,33"
29/08/2001 18.00.00,"3832,6"
30/08/2001 18.00.00,"3737,12"
31/08/2001 18.00.00,"3745,02"
03/09/2001 18.00.00,"3691,77"
04/09/2001 18.00.00,"3736,82"
05/09/2001 18.00.00,"3637,17"
06/09/2001 18.00.00,"3550,26"
07/09/2001 18.00.00,"3456,52"
10/09/2001 18.00.00,"3440,65"
11/09/2001 18.00.00,"3220,27"
12/09/2001 18.00.00,"3260,9"
13/09/2001 18.00.00,"3293,82"
14/09/2001 18.00.00,"3091,21"
17/09/2001 18.00.00,"3204,96"
18/09/2001 18.00.00,"3189,94"
19/09/2001 18.00.00,"3105,13"
20/09/2001 18.00.00,"2967,94"
21/09/2001 18.00.00,"2877,68"
24/09/2001 18.00.00,"3068,05"
25/09/2001 18.00.00,"3095,75"
26/09/2001 18.00.00,"3155,68"
27/09/2001 18.00.00,"3198,78"
28/09/2001 18.00.00,"3296,66"
01/10/2001 18.00.00,"3208,31"
02/10/2001 18.00.00,"3265,24"
03/10/2001 18.00.00,"3264,59"
04/10/2001 18.00.00,"3394,69"
05/10/2001 18.00.00,"3348,02"
08/10/2001 18.00.00,"3353,41"
09/10/2001 18.00.00,"3357,12"
10/10/2001 18.00.00,"3468,32"
11/10/2001 18.00.00,"3510,55"
12/10/2001 18.00.00,"3498,66"
15/10/2001 18.00.00,"3393,62"
16/10/2001 18.00.00,"3455,27"
17/10/2001 18.00.00,"3531,76"
18/10/2001 18.00.00,"3457,9"
19/10/2001 18.00.00,"3406,94"
22/10/2001 18.00.00,"3480,27"
23/10/2001 18.00.00,"3580,5"
24/10/2001 18.00.00,"3609,65"
25/10/2001 18.00.00,"3523,43"
26/10/2001 18.00.00,"3611,88"
29/10/2001 18.00.00,"3527,55"
30/10/2001 18.00.00,"3414,72"
31/10/2001 18.00.00,"3478,63"
01/11/2001 18.00.00,"3508,96"
02/11/2001 18.00.00,"3503,26"
05/11/2001 18.00.00,"3606,5"
06/11/2001 18.00.00,"3589,69"
07/11/2001 18.00.00,"3633,05"
08/11/2001 18.00.00,"3719,47"
09/11/2001 18.00.00,"3665,78"
12/11/2001 18.00.00,"3567,55"
13/11/2001 18.00.00,"3717,98"
14/11/2001 18.00.00,"3708,36"
15/11/2001 18.00.00,"3703,85"
16/11/2001 18.00.00,"3743,44"
19/11/2001 18.00.00,"3795,72"
20/11/2001 18.00.00,"3747,27"
21/11/2001 18.00.00,"3730,04"
22/11/2001 18.00.00,"3770,29"
23/11/2001 18.00.00,"3772,19"
26/11/2001 18.00.00,"3753,54"
27/11/2001 18.00.00,"3681,05"
28/11/2001 18.00.00,"3631,76"
29/11/2001 18.00.00,"3629,37"
30/11/2001 18.00.00,"3658,27"
03/12/2001 18.00.00,"3645,6"
04/12/2001 18.00.00,"3690,25"
05/12/2001 18.00.00,"3821,8"
06/12/2001 18.00.00,"3828,76"
07/12/2001 18.00.00,"3792,85"
10/12/2001 18.00.00,"3720,2"
11/12/2001 18.00.00,"3744,56"
12/12/2001 18.00.00,"3692,39"
13/12/2001 18.00.00,"3607,26"
14/12/2001 18.00.00,"3568,73"
17/12/2001 18.00.00,"3692,85"
18/12/2001 18.00.00,"3680,55"
19/12/2001 18.00.00,"3651,51"
20/12/2001 18.00.00,"3617,47"
21/12/2001 18.00.00,"3696,44"
24/12/2001 18.00.00,"3696,98"
27/12/2001 18.00.00,"3778,39"
28/12/2001 18.00.00,"3806,13"
02/01/2002 18.00.00,"3755,56"
03/01/2002 18.00.00,"3833,09"
04/01/2002 18.00.00,"3820,42"
07/01/2002 18.00.00,"3754,42"
08/01/2002 18.00.00,"3724,04"
09/01/2002 18.00.00,"3722,98"
10/01/2002 18.00.00,"3666,36"
11/01/2002 18.00.00,"3696,66"
14/01/2002 18.00.00,"3588,51"
15/01/2002 18.00.00,"3637,2"
16/01/2002 18.00.00,"3576,6"
17/01/2002 18.00.00,"3649,43"
18/01/2002 18.00.00,"3639,27"
21/01/2002 18.00.00,"3601,97"
22/01/2002 18.00.00,"3614,62"
23/01/2002 18.00.00,"3648,81"
24/01/2002 18.00.00,"3710,14"
25/01/2002 18.00.00,"3701,3"
28/01/2002 18.00.00,"3739,85"
29/01/2002 18.00.00,"3684,65"
30/01/2002 18.00.00,"3630,73"
31/01/2002 18.00.00,"3670,26"
01/02/2002 18.00.00,"3682,69"
04/02/2002 18.00.00,"3619,23"
05/02/2002 18.00.00,"3535,7"
06/02/2002 18.00.00,"3485,38"
07/02/2002 18.00.00,"3519,93"
08/02/2002 18.00.00,"3507,46"
11/02/2002 18.00.00,"3556,09"
12/02/2002 18.00.00,"3543,27"
13/02/2002 18.00.00,"3571,56"
14/02/2002 18.00.00,"3616,14"
15/02/2002 18.00.00,"3555,15"
18/02/2002 18.00.00,"3537,52"
19/02/2002 18.00.00,"3448,98"
20/02/2002 18.00.00,"3433,08"
21/02/2002 18.00.00,"3480,58"
22/02/2002 18.00.00,"3430,18"
25/02/2002 18.00.00,"3493,32"
26/02/2002 18.00.00,"3519,8"
27/02/2002 18.00.00,"3591,23"
28/02/2002 18.00.00,"3624,74"
01/03/2002 18.00.00,"3645,33"
04/03/2002 18.00.00,"3748,55"
05/03/2002 18.00.00,"3732,08"
06/03/2002 18.00.00,"3748,67"
07/03/2002 18.00.00,"3766,81"
08/03/2002 18.00.00,"3789,88"
11/03/2002 18.00.00,"3766,9"
12/03/2002 18.00.00,"3723,95"
13/03/2002 18.00.00,"3702,89"
14/03/2002 18.00.00,"3711,44"
15/03/2002 18.00.00,"3755,75"
18/03/2002 18.00.00,"3778,72"
19/03/2002 18.00.00,"3796,26"
20/03/2002 18.00.00,"3747,27"
21/03/2002 18.00.00,"3722,68"
22/03/2002 18.00.00,"3744,37"
25/03/2002 18.00.00,"3711,76"
26/03/2002 18.00.00,"3732,75"
27/03/2002 18.00.00,"3734,98"
28/03/2002 18.00.00,"3784,05"
02/04/2002 18.00.00,"3743,96"
03/04/2002 18.00.00,"3748,44"
04/04/2002 18.00.00,"3691,1"
05/04/2002 18.00.00,"3677,72"
08/04/2002 18.00.00,"3604,73"
09/04/2002 18.00.00,3623
10/04/2002 18.00.00,"3660,5"
11/04/2002 18.00.00,"3596,04"
12/04/2002 18.00.00,"3611,79"
15/04/2002 18.00.00,"3650,23"
16/04/2002 18.00.00,"3742,88"
17/04/2002 18.00.00,"3746,69"
18/04/2002 18.00.00,"3704,86"
19/04/2002 18.00.00,"3709,01"
22/04/2002 18.00.00,"3665,27"
23/04/2002 18.00.00,"3657,8"
24/04/2002 18.00.00,"3625,67"
25/04/2002 18.00.00,"3574,38"
26/04/2002 18.00.00,"3561,08"
29/04/2002 18.00.00,"3538,74"
30/04/2002 18.00.00,"3574,23"
