usd_eur_exchange,MACD_12,RSI,eur_stoxx_vix,us_cpi,us_sp500_vix,SMA_10,SMA_20,eu_cpi,eu_mro_rate,eu_unemployment_rate,us_federal_fund_rate,us_unemployment
-0.0124999999999999,0.0047457144877551,33.90382617213169,13.8016,0.0523834468308086,13.58,-0.0030399999999999316,-0.00043500000000018524,0.0,0.0,0.0,0.0,0.0
0.0046999999999999,0.0017003585016601,28.266006693647725,13.5709,0.0523834468308086,13.49,-0.0047399999999999665,-0.0008099999999999774,0.0,0.0,0.0,-0.009999999999999787,0.0
0.0052,-0.0003300526954419,32.92576625909631,12.9192,0.0523834468308086,13.23,-0.005160000000000053,-0.0009999999999998899,0.0,0.0,0.0,0.019999999999999574,0.0
0.012,-0.0015022545997762,37.88588188409103,13.6763,0.0523834468308086,13.19,-0.0045999999999999375,-0.0005950000000001232,0.0,0.0,0.0,-0.019999999999999574,0.0
-0.0074,-0.0014462617373625,47.7863461216116,14.0453,0.0523834468308086,12.56,-0.002869999999999928,-0.0007399999999999629,0.0,0.0,0.0,0.009999999999999787,0.0
-0.0100999999999999,-0.0019762244606866,43.08131841179724,13.6395,0.0523834468308086,12.84,-0.004160000000000164,-0.00039999999999995595,0.0,0.0,0.0,0.040000000000000036,0.0
-0.0062999999999999,-0.0031746143497788,37.48432046212625,13.5706,0.0523834468308086,12.43,-0.0043199999999998795,-0.0009450000000001957,0.0,0.0,0.0,0.0,0.0
-0.0006999999999999,-0.004579909968301,34.387974859089624,13.1668,0.0523834468308086,12.47,-0.004329999999999945,-0.0017649999999997945,0.0,0.0,0.0,0.020000000000000018,0.0
-0.0077,-0.0056845728036869,34.04082669984764,13.6336,-0.366492146596853,13.18,-0.0025900000000003143,-0.0017050000000000676,0.0,0.0,0.0,-0.1200000000000001,0.0
0.0089999999999998,-0.0070995129419102,30.302042912292293,14.174,-0.366492146596853,13.83,-0.003329999999999833,-0.002155000000000129,0.0,0.0,0.0,0.06000000000000005,0.0
-0.0007999999999999,-0.0074092294269352,39.0026664459765,13.9613,-0.366492146596853,14.36,-0.0013799999999999368,-0.0022100000000000453,0.0,0.0,0.0,0.009999999999999787,0.0
-0.0086999999999999,-0.0076312667935281,38.527650895687245,14.1144,-0.366492146596853,14.65,-0.00020999999999982144,-0.002474999999999783,0.0,0.0,0.0,0.0,0.0
0.0126999999999999,-0.0084122787839524,33.58514186519011,13.628,-0.366492146596853,14.06,-0.0015500000000001624,-0.003354999999999775,0.0,0.0,0.0,0.03000000000000025,0.0
-0.0049000000000001,-0.0079152109270601,45.02416056006578,13.324,-0.366492146596853,13.44,-0.0008000000000001339,-0.0027000000000001467,0.0,0.0,0.0,0.040000000000000036,0.0
9.9999999999989e-05,-0.0078264516553976,41.92830509353407,12.462,-0.366492146596853,13.24,-0.0024900000000001032,-0.0026800000000000157,0.0,0.0,0.0,0.06000000000000005,0.0
0.0016,-0.0076597433752587,42.018708406987926,12.805,-0.366492146596853,13.24,-0.0017399999999998528,-0.002950000000000008,0.0,0.0,0.0,0.08999999999999986,0.0
-0.0031999999999998,-0.0073142056244346,43.58016225689501,12.7246,-0.366492146596853,12.82,-0.0005699999999999594,-0.0024450000000000305,0.0,0.0,0.0,0.020000000000000018,0.0
-0.0001999999999999,-0.007215403049009,41.119368641607906,12.3571,-0.366492146596853,12.03,-0.00025999999999992696,-0.002294999999999936,0.0,0.0,0.0,-0.10000000000000009,0.0
-0.0056,-0.0070717212243993,40.958759356241224,12.2505,-0.366492146596853,11.66,-0.00021000000000004349,-0.0014000000000000679,0.0,0.0,0.0,-0.10999999999999988,0.0
-0.0032,-0.0073252842253528,36.5208301079368,12.3844,-0.366492146596853,11.79,0.0,-0.0016650000000000276,0.0,0.0,0.0,0.20000000000000018,0.0
-0.0153999999999998,-0.0076957363289447,34.17011771127248,11.5966,-0.366492146596853,11.21,-0.0012199999999999989,-0.0013000000000000789,0.0,0.0,0.0,0.019999999999999574,-0.10000000000000053
0.0009999999999998,-0.0091267659106317,25.42076827241769,11.9934,-0.366492146596853,11.73,-0.0026800000000000157,-0.0014449999999999186,0.0,0.0,0.0,-0.009999999999999787,0.0
0.0014,-0.0100641621252222,26.773569294339765,11.9216,-0.366492146596853,11.6,-0.0017100000000001003,-0.0016300000000000203,0.0,0.0,0.0,-0.020000000000000018,0.0
0.0084999999999999,-0.0105722171409246,28.783054830149524,12.1924,-0.366492146596853,12.0,-0.0028399999999999537,-0.0018199999999999328,0.0,0.0,0.0,0.020000000000000018,0.0
-0.0018,-0.0101717221573189,39.907658034419555,12.037,-0.366492146596853,11.51,-0.0014999999999998348,-0.001994999999999969,0.0,0.0,0.0,0.009999999999999787,0.0
0.0117,-0.0098856167182284,38.49286631296815,11.9887,-0.366492146596853,11.43,-0.0016900000000001913,-0.001715000000000133,0.0,0.0,0.0,-0.009999999999999787,0.0
0.0004999999999999,-0.0086154701010692,51.03089551436827,12.5182,-0.366492146596853,11.52,-0.0006800000000000139,-0.0006249999999998757,0.0,0.0,0.0,0.009999999999999787,0.0
0.0008000000000001,-0.0074822729497214,51.50033986450536,12.3504,-0.366492146596853,11.27,-0.00030999999999981043,-0.00028500000000009074,0.0,0.0,0.0,0.020000000000000018,0.0
0.0088999999999999,-0.0064453546921161,52.31305606865181,13.6633,-0.366492146596853,11.1,-0.00021000000000004349,-0.00021000000000004349,0.0,0.0,0.0,-0.04999999999999982,0.0
