DATE;MABMM301USM189S
2004-03-01;6150100000000.0
2004-04-01;6191200000000.0
2004-05-01;6268100000000.0
2004-06-01;6270500000000.0
2004-07-01;6284300000000.0
2004-08-01;6310600000000.0
2004-09-01;6345300000000.0
2004-10-01;6373300000000.0
2004-11-01;6399800000000.0
2004-12-01;6418300000000.0
2005-01-01;6424500000000.0
2005-02-01;6432800000000.0
2005-03-01;6441900000000.0
2005-04-01;6455900000000.0
2005-05-01;6473300000000.0
2005-06-01;6505800000000.0
2005-07-01;6537400000000.0
2005-08-01;6570200000000.0
2005-09-01;6604300000000.0
2005-10-01;6638600000000.0
2005-11-01;6655000000000.0
2005-12-01;6681900000000.0
2006-01-01;6724300000000.0
2006-02-01;6748600000000.0
2006-03-01;6762900000000.0
2006-04-01;6800100000000.0
2006-05-01;6806900000000.0
2006-06-01;6844900000000.0
2006-07-01;6886300000000.0
2006-08-01;6917100000000.0
2006-09-01;6944200000000.0
2006-10-01;6993300000000.0
2006-11-01;7028400000000.0
2006-12-01;7071600000000.0
2007-01-01;7109600000000.0
2007-02-01;7125300000000.0
2007-03-01;7159100000000.0
2007-04-01;7231300000000.0
2007-05-01;7245400000000.0
2007-06-01;7278600000000.0
2007-07-01;7309000000000.0
2007-08-01;7385100000000.0
2007-09-01;7403200000000.0
2007-10-01;7417200000000.0
2007-11-01;7441800000000.0
2007-12-01;7471600000000.0
2008-01-01;7505500000000.0
2008-02-01;7590600000000.0
2008-03-01;7656200000000.0
2008-04-01;7699200000000.0
2008-05-01;7711200000000.0
2008-06-01;7728900000000.0
2008-07-01;7775400000000.0
2008-08-01;7790200000000.0
2008-09-01;7859500000000.0
2008-10-01;7965300000000.0
2008-11-01;8015800000000.0
2008-12-01;8192100000000.0
2009-01-01;8273700000000.001
2009-02-01;8303100000000.0
2009-03-01;8369299999999.999
2009-04-01;8372900000000.0
2009-05-01;8430700000000.001
2009-06-01;8440500000000.0
2009-07-01;8445100000000.0
2009-08-01;8445000000000.0
2009-09-01;8444200000000.001
2009-10-01;8471100000000.0
2009-11-01;8500799999999.999
2009-12-01;8496000000000.0
2010-01-01;8458100000000.0
2010-02-01;8507400000000.0
2010-03-01;8504500000000.0
2010-04-01;8535200000000.001
2010-05-01;8589900000000.0
2010-06-01;8609000000000.0
2010-07-01;8618799999999.999
2010-08-01;8669100000000.0
2010-09-01;8700100000000.0
2010-10-01;8749400000000.0
2010-11-01;8770000000000.0
2010-12-01;8801800000000.0
2011-01-01;8823100000000.0
2011-02-01;8886900000000.0
2011-03-01;8943500000000.0
2011-04-01;9004900000000.0
2011-05-01;9075500000000.0
2011-06-01;9151000000000.0
2011-07-01;9316600000000.0
2011-08-01;9507600000000.0
2011-09-01;9528300000000.0
2011-10-01;9562100000000.0
2011-11-01;9612600000000.0
2011-12-01;9660100000000.0
2012-01-01;9733300000000.0
