DATE,Close,SMA_10,SMA_20,SMA_50,EMA_20,RSI,BB_High,BB_Low,BB_Middle,MACD_12,MACD_Signal_12,MACD_Diff_12,MACD_24,MACD_Signal_24,MACD_Diff_24,Fib_23.6,Fib_38.2,Fib_61.8
1999-01-04,1.1812,,,,,,,,,,,,,,,1.418336,1.305332,1.122668
1999-01-05,1.176,,,,,,,,,,,,,,,1.418336,1.305332,1.122668
1999-01-06,1.1636,,,,,,,,,,,,,,,1.418336,1.305332,1.122668
1999-01-07,1.1672,,,,,,,,,,,,,,,1.418336,1.305332,1.122668
1999-01-08,1.1554,,,,,,,,,,,,,,,1.418336,1.305332,1.122668
1999-01-11,1.1534,,,,,,,,,,,,,,,1.418336,1.305332,1.122668
1999-01-12,1.1548,,,,,,,,,,,,,,,1.418336,1.305332,1.122668
1999-01-13,1.1698,,,,,,,,,,,,,,,1.418336,1.305332,1.122668
1999-01-14,1.1689,,,,,,,,,,,,,,,1.418336,1.305332,1.122668
1999-01-15,1.1591,1.16494,,,,,,,,,,,,,,1.418336,1.305332,1.122668
1999-01-18,1.1591,1.16273,,,,,,,,,,,,,,1.418336,1.305332,1.122668
1999-01-19,1.161,1.16123,,,,,,,,,,,,,,1.418336,1.305332,1.122668
1999-01-20,1.1575,1.1606200000000002,,,,,,,,,,,,,,1.418336,1.305332,1.122668
1999-01-21,1.1577,1.1596699999999998,,,,35.05428728883592,,,,,,,,,,1.418336,1.305332,1.122668
1999-01-22,1.1582,1.1599499999999998,,,,35.91807309154386,,,,,,,,,,1.418336,1.305332,1.122668
1999-01-25,1.1566,1.16027,,,,34.34394379769283,,,,,,,,,,1.418336,1.305332,1.122668
1999-01-26,1.1577,1.1605599999999998,,,,36.4073819758866,,,,,,,,,,1.418336,1.305332,1.122668
1999-01-27,1.1481,1.15839,,,,28.10557877634291,,,,,,,,,,1.418336,1.305332,1.122668
1999-01-28,1.1395,1.15545,,,,23.03762552891628,,,,,,,,,,1.418336,1.305332,1.122668
1999-01-29,1.1371,1.1532499999999999,1.159095,,1.1581734198820832,21.853342740304328,1.1797898761774501,1.1384001238225498,1.159095,,,,,,,1.418336,1.305332,1.122668
1999-02-01,1.1303,1.15037,1.15655,,1.1555188084647419,18.89029412329549,1.1782404126286243,1.1348595873713756,1.15655,,,,,,,1.418336,1.305332,1.122668
1999-02-02,1.1328,1.14755,1.15439,,1.1533551124204808,23.022667337914783,1.1765025213397293,1.1322774786602707,1.15439,,,,,,,1.418336,1.305332,1.122668
1999-02-03,1.1339,1.14519,1.152905,,1.1515022445709113,24.83720910334729,1.1762961500358573,1.1295138499641428,1.152905,,,,,,,1.418336,1.305332,1.122668
1999-02-04,1.1306,1.1424800000000002,1.151075,,1.149511554611777,23.079539704549077,1.1754139297217439,1.1267360702782563,1.151075,,,,,,,1.418336,1.305332,1.122668
1999-02-05,1.1283,1.13949,1.14972,,1.1474914065535124,21.915457834293136,1.1758932382406149,1.1235467617593853,1.14972,,,,,,,1.418336,1.305332,1.122668
1999-02-08,1.1296,1.13679,1.14853,,1.1457874630722256,24.24134601595175,1.1760550504086729,1.1210049495913272,1.14853,-0.011076472444134788,,,,,,1.418336,1.305332,1.122668
1999-02-09,1.13,1.13402,1.1472900000000001,,1.144283895160585,24.9817892816028,1.1757906596414887,1.1187893403585116,1.1472900000000001,-0.010957995285283628,,,,,,1.418336,1.305332,1.122668
1999-02-10,1.1331,1.13252,1.145455,,1.1432187622881482,30.639709593162138,1.1726165518702443,1.1182934481297555,1.145455,-0.01049300041398693,,,,,,1.418336,1.305332,1.122668
