Datetime,Open,High,Low,Close
2024-03-26 10:00:00,0.92150,0.92170,0.92090,0.92110
2024-03-26 11:00:00,0.92110,0.92110,0.92020,0.92090
2024-03-26 12:00:00,0.92100,0.92100,0.92060,0.92080
2024-03-26 13:00:00,0.92080,0.92150,0.92070,0.92130
2024-03-26 14:00:00,0.92130,0.92160,0.92070,0.92110
2024-03-26 15:00:00,0.92120,0.92230,0.92110,0.92220
2024-03-26 16:00:00,0.92210,0.92350,0.92190,0.92350
2024-03-26 17:00:00,0.92330,0.92360,0.92290,0.92310
2024-03-26 18:00:00,0.92320,0.92320,0.92260,0.92300
2024-03-26 19:00:00,0.92310,0.92310,0.92270,0.92290
2024-03-26 20:00:00,0.92290,0.92320,0.92270,0.92320
2024-03-26 21:00:00,0.92320,0.92320,0.92300,0.92300
2024-03-26 22:00:00,0.92310,0.92320,0.92280,0.92290
2024-03-26 23:00:00,0.92280,0.92290,0.92280,0.92290
2024-03-27 00:00:00,0.92290,0.92310,0.92280,0.92290
2024-03-27 01:00:00,0.92290,0.92330,0.92290,0.92310
2024-03-27 02:00:00,0.92310,0.92390,0.92300,0.92370
2024-03-27 03:00:00,0.92360,0.92360,0.92330,0.92340
2024-03-27 04:00:00,0.92350,0.92360,0.92330,0.92340
2024-03-27 05:00:00,0.92340,0.92340,0.92310,0.92310
2024-03-27 06:00:00,0.92320,0.92350,0.92310,0.92340
2024-03-27 07:00:00,0.92340,0.92350,0.92290,0.92290
2024-03-27 08:00:00,0.92310,0.92370,0.92290,0.92360
2024-03-27 09:00:00,0.92330,0.92380,0.92310,0.92320
2024-03-27 10:00:00,0.92320,0.92330,0.92240,0.92330
2024-03-27 11:00:00,0.92330,0.92340,0.92270,0.92290
2024-03-27 12:00:00,0.92290,0.92400,0.92270,0.92400
2024-03-27 13:00:00,0.92390,0.92440,0.92390,0.92400
2024-03-27 14:00:00,0.92410,0.92470,0.92410,0.92410
2024-03-27 15:00:00,0.92420,0.92450,0.92390,0.92440
2024-03-27 16:00:00,0.92440,0.92450,0.92380,0.92390
2024-03-27 17:00:00,0.92390,0.92400,0.92350,0.92370
2024-03-27 18:00:00,0.92370,0.92420,0.92360,0.92390
2024-03-27 19:00:00,0.92400,0.92400,0.92370,0.92370
2024-03-27 20:00:00,0.92380,0.92390,0.92330,0.92330
2024-03-27 21:00:00,0.92340,0.92340,0.92320,0.92330
2024-03-27 22:00:00,0.92360,0.92360,0.92310,0.92330
2024-03-27 23:00:00,0.92390,0.92480,0.92370,0.92460
2024-03-28 00:00:00,0.92450,0.92470,0.92440,0.92460
2024-03-28 01:00:00,0.92450,0.92500,0.92410,0.92420
2024-03-28 02:00:00,0.92420,0.92440,0.92410,0.92410
2024-03-28 03:00:00,0.92410,0.92420,0.92350,0.92380
2024-03-28 04:00:00,0.92370,0.92390,0.92360,0.92380
